policy_training_condition,policy_training_seed,tag,environment_steps,value
nominal,5,rollout/ep_rew_mean,3489792,1358.583251953125
nominal,5,rollout/ep_rew_mean,3497984,1334.16064453125
nominal,5,rollout/ep_rew_mean,3506176,1367.9447021484375
nominal,5,rollout/ep_rew_mean,3514368,1356.968505859375
nominal,5,rollout/ep_rew_mean,3522560,1402.518798828125
nominal,5,rollout/ep_rew_mean,3530752,1360.59228515625
nominal,5,rollout/ep_rew_mean,3538944,1382.7406005859375
nominal,5,rollout/ep_rew_mean,3547136,1376.9268798828125
nominal,5,rollout/ep_rew_mean,3555328,1341.6422119140625
nominal,5,rollout/ep_rew_mean,3563520,1302.2166748046875
nominal,5,rollout/ep_rew_mean,3571712,1291.2606201171875
nominal,5,rollout/ep_rew_mean,3579904,1303.9393310546875
nominal,5,rollout/ep_rew_mean,3588096,1272.62353515625
nominal,5,rollout/ep_rew_mean,3596288,1293.9278564453125
nominal,5,rollout/ep_rew_mean,3604480,1242.182373046875
nominal,5,rollout/ep_rew_mean,3612672,1273.101318359375
nominal,5,rollout/ep_rew_mean,3620864,1326.0091552734375
nominal,5,rollout/ep_rew_mean,3629056,1368.3848876953125
nominal,5,rollout/ep_rew_mean,3637248,1347.09130859375
nominal,5,rollout/ep_rew_mean,3645440,1351.614013671875
nominal,5,rollout/ep_rew_mean,3653632,1259.306396484375
nominal,5,rollout/ep_rew_mean,3661824,1354.0576171875
nominal,5,rollout/ep_rew_mean,3670016,1357.9019775390625
nominal,5,rollout/ep_rew_mean,3678208,1324.3380126953125
